flight_id,origin,scheduled_arrival,actual_arrival,airline,status,aircraft_type,departure_delay,arrival_delay,route_distance,query_time,forecast_type,start_time,end_time,winds_symbol,winds_direction,winds_speed,winds_units,visibility,visibility_symbol,significant_weather,turbulence_layers,icing_layers,barometric_pressure,clouds_coverage,clouds_altitude,timestamp,temp_c,dewpoint_c,wind_speed_kt,wind_direction,visibility_mi,altimeter_inhg,flight_category,humidity,cloud_base,cloud_coverage
EJA439-1746419114-sw-935p,Charleston Intl/AFB,2025-05-05 23:12:00+00:00,2025-05-05 22:02:06+00:00,EJA,Arrived,E55P ,0,-4194,475,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
SWA2902-1746252977-airline-1629p,Denver Intl,2025-05-05 21:53:00+00:00,2025-05-05 22:12:46+00:00,SWA,Arrived / Delayed,B738 ,1620,2400,1450,2025-05-05 18:38:07+00:00,forecast,2025-05-05 18:00:00+00:00,,11006KT,110,6.0,KT,unlimited,P6SM,light rain_showers,,,,broken,1500.0,,,,,,,,,,,
SKW3700-1746252536-airline-768p,Minneapolis/St Paul Intl,2025-05-05 22:18:00+00:00,2025-05-05 22:17:06+00:00,SKW,Arrived / Gate Arrival,E75L ,-360,960,907,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UCA4951-1746250716-airline-953p,Mobile Rgnl,2025-05-05 20:19:00+00:00,2025-05-05 22:19:57+00:00,UCA,Arrived / Delayed,E145 ,8640,9060,836,2025-05-05 18:38:07+00:00,forecast,2025-05-05 18:00:00+00:00,,11006KT,110,6.0,KT,unlimited,P6SM,light rain_showers,,,,broken,1500.0,,,,,,,,,,,
UAL413-1746250747-airline-1004p,Orlando Intl,2025-05-05 22:25:00+00:00,2025-05-05 22:22:00+00:00,UAL,Arrived / Gate Arrival,B739 ,-360,1260,760,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
SKQ61-1746459917-sw-1371p,Burlington/Alamance Rgnl,2025-05-05 22:00:00+00:00,2025-05-05 22:25:31+00:00,SKQ,Arrived,PC12 ,271,1531,312,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
ASA406-1746250809-airline-1129p,Seattle-Tacoma Intl,2025-05-05 22:00:00+00:00,2025-05-05 22:27:47+00:00,ASA,Arrived / Gate Arrival,B739 ,600,1800,2302,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
QQE783-1746469147-sw-1065p,Austin-Bergstrom Intl,2025-05-05 21:49:00+00:00,2025-05-05 22:37:01+00:00,QQE,Arrived,GLF6 ,2733,2881,1296,2025-05-05 18:38:07+00:00,forecast,2025-05-05 18:00:00+00:00,,11006KT,110,6.0,KT,unlimited,P6SM,light rain_showers,,,,broken,1500.0,,,,,,,,,,,
LXJ356-1746443604-sw-1354p,Palm Beach Intl,2025-05-05 21:52:00+00:00,2025-05-05 22:38:32+00:00,LXJ,Arrived,E55P ,2787,2792,862,2025-05-05 18:38:07+00:00,forecast,2025-05-05 18:00:00+00:00,,11006KT,110,6.0,KT,unlimited,P6SM,light rain_showers,,,,broken,1500.0,,,,,,,,,,,
DAL2902-1746245723-fa-558p,Hartsfield-Jackson Intl,2025-05-05 22:30:00+00:00,2025-05-05 22:39:53+00:00,DAL,Arrived / Gate Arrival,BCS3 ,-300,-60,534,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
LFG300-1746468086-sw-4726p,Laurence G Hanscom Fld,2025-05-05 22:41:00+00:00,2025-05-05 22:41:43+00:00,LFG,Arrived,CL30 ,521,43,405,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
EIN119-1746251956-airline-1265p,Dublin Int'l,2025-05-05 22:54:00+00:00,2025-05-05 22:45:55+00:00,EIN,Arrived / Gate Arrival,A21N ,-120,-600,3565,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UAL2667-1746254418-airline-945p,Los Angeles Intl,2025-05-05 22:54:00+00:00,2025-05-05 22:53:24+00:00,UAL,Arrived / Gate Arrival,B739 ,-60,840,2285,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
ICE645-1746254156-airline-448p,Keflavik Int'l,2025-05-05 22:54:00+00:00,2025-05-05 22:56:08+00:00,ICE,Arrived / Gate Arrival,B38M ,240,-960,2796,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UAL347-1746244343-fa-476p,Denver Intl,2025-05-05 22:51:00+00:00,2025-05-05 22:58:13+00:00,UAL,Arrived / Gate Arrival,B739 ,420,900,1450,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
RAM218W-1746432833-ed-2153p,Mohammed V Int'l,2025-05-05 23:52:03+00:00,2025-05-05 23:00:52+00:00,RAM,Arrived,B788 ,-1048,-3071,3892,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
AFR52-1746249073-airline-809p,Charles de Gaulle/Roissy,2025-05-05 22:50:00+00:00,2025-05-05 23:03:00+00:00,AFR,Arrived / Gate Arrival,A359 ,120,60,4628,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
EJA831-1746410423-sw-183p,Opa-locka Executive,2025-05-05 22:36:00+00:00,2025-05-05 23:06:49+00:00,EJA,Arrived,C700 ,-1800,1849,1451,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
LXJ663-1746443464-sw-27p,Pittsburgh Intl,2025-05-05 21:23:00+00:00,2025-05-05 23:08:09+00:00,LXJ,Arrived,GLF6 ,5757,6309,182,2025-05-05 18:38:07+00:00,forecast,2025-05-05 18:00:00+00:00,,11006KT,110,6.0,KT,unlimited,P6SM,light rain_showers,,,,broken,1500.0,,,,,,,,,,,
DLH414-1746256506-airline-1177p,Munich Int'l,2025-05-05 23:18:00+00:00,2025-05-05 23:10:27+00:00,DLH,Arrived / Gate Arrival,A388 ,-180,540,4317,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UAL109-1746252912-airline-1424p,Munich Int'l,2025-05-05 18:55:00+00:00,2025-05-05 23:13:39+00:00,UAL,Arrived / Delayed,B78X ,15000,18600,4257,2025-05-05 18:38:07+00:00,forecast,2025-05-05 18:00:00+00:00,,11006KT,110,6.0,KT,unlimited,P6SM,light rain_showers,,,,broken,1500.0,,,,,,,,,,,
SCX8122-1746310587-schedule-1278p,Atlantic City Intl,2025-05-05 22:59:00+00:00,2025-05-05 23:17:25+00:00,SCX,Arrived / Gate Arrival,B738 ,562,1105,223,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UAL331-1746218351-fa-808p,Charles de Gaulle/Roissy,2025-05-05 23:26:00+00:00,2025-05-05 23:18:59+00:00,UAL,Arrived / Gate Arrival,B764 ,-240,1740,3855,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
EJA671-1746408627-sw-1371p,Eagle County,2025-05-05 22:53:00+00:00,2025-05-05 23:23:20+00:00,EJA,Arrived,C68A ,-1800,1820,1570,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UAL127-1746252912-airline-1626p,Leonardo da Vinci Int'l (Fiumicino Int'l),2025-05-05 23:18:00+00:00,2025-05-05 23:24:15+00:00,UAL,Arrived / Delayed,B763 ,-300,4020,4499,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
ETH516-1746249860-airline-1171p,Lome,2025-05-05 22:57:00+00:00,2025-05-05 23:34:43+00:00,ETH,Arrived / Gate Arrival,B788 ,0,-1224,5351,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
CYO601-1746472997-adhoc-4090p,Loreto Int'l,2025-05-05 23:24:37+00:00,2025-05-05 23:39:14+00:00,CYO,Arrived,LJ60 ,-97,877,2155,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UAL925-1746206048-fa-1144p,London Heathrow,2025-05-05 23:27:00+00:00,2025-05-05 23:44:00+00:00,UAL,Arrived / Gate Arrival,B772 ,-840,1680,3671,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
THY7-1746259458-airline-665p,Istanbul Airport,2025-05-05 23:35:00+00:00,2025-05-05 23:47:44+00:00,THY,Arrived / Gate Arrival,B77W ,0,1158,5250,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UAL2650-1746254418-airline-920p,San Francisco Int'l,2025-05-05 23:29:00+00:00,2025-05-05 23:50:00+00:00,UAL,Arrived / Delayed,B39M ,-180,3000,2415,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UCA4829-1746250716-airline-860p,Manchester Boston Rgnl,2025-05-05 23:50:00+00:00,2025-05-05 23:53:47+00:00,UCA,Arrived / Gate Arrival,E145 ,180,-180,418,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
BAW293-1746249159-airline-1120p,London Heathrow,2025-05-05 23:33:00+00:00,2025-05-05 23:58:21+00:00,BAW,Arrived / Gate Arrival,A388 ,420,300,3715,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UAL933-1746230592-fa-430p,Frankfurt Int'l,2025-05-05 23:41:00+00:00,2025-05-06 00:10:00+00:00,UAL,Arrived / Delayed,B772 ,600,4680,4074,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UAL1820-1746251127-airline-1806p,Providenciales Int'l,2025-05-06 00:24:00+00:00,2025-05-06 00:15:47+00:00,UAL,Arrived / Delayed,B39M ,-1260,3240,1227,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
RPA3582-1746248477-airline-1742p,Jacksonville Intl,2025-05-06 00:23:00+00:00,2025-05-06 00:19:32+00:00,RPA,Arrived / Gate Arrival,E75L ,-420,720,632,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
EJA794-1746474614-sw-1489p,Westchester County,2025-05-05 23:48:00+00:00,2025-05-06 00:22:48+00:00,EJA,Arrived,CL35 ,-1800,2088,247,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
SAS925-1746250462-airline-719p,Copenhagen,2025-05-05 23:27:00+00:00,2025-05-06 00:24:39+00:00,SAS,Arrived / Gate Arrival,A359 ,1260,2139,4266,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UAL1133-1746252912-airline-1474p,Cancun Int'l,2025-05-06 00:21:00+00:00,2025-05-06 00:26:45+00:00,UAL,Arrived / Gate Arrival,B39M ,-180,900,1359,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
TAP233-1746250776-airline-566p,General Humberto Delgado Airport,2025-05-06 00:21:00+00:00,2025-05-06 00:28:20+00:00,TAP,Arrived / Gate Arrival,A21N ,1620,-774,3587,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UAL1797-1746244111-fa-1599p,Fort Lauderdale Intl,2025-05-06 00:48:00+00:00,2025-05-06 00:43:00+00:00,UAL,Arrived / Gate Arrival,B738 ,-180,-600,904,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
JZA8725-1746248567-airline-1580p,Montreal-Trudeau,2025-05-06 00:45:00+00:00,2025-05-06 00:49:03+00:00,JZA,Arrived / Gate Arrival,E75S ,-240,-840,489,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UAL1463-1746252912-airline-1871p,Punta Cana Int'l,2025-05-06 00:22:00+00:00,2025-05-06 01:04:15+00:00,UAL,Arrived / Delayed,B739 ,960,2880,1512,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
ASH6096-1746250872-airline-263p,San Antonio Intl,2025-05-06 01:01:00+00:00,2025-05-06 01:07:29+00:00,ASH,Arrived / Gate Arrival,E75L ,-120,600,1362,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UAL1370-1746252912-airline-1758p,Tampa Intl,2025-05-06 00:38:00+00:00,2025-05-06 01:09:32+00:00,UAL,Arrived / Delayed,B752 ,-300,1920,813,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UAL1445-1746252912-airline-1849p,Cyril E King,2025-05-06 00:51:00+00:00,2025-05-06 01:11:00+00:00,UAL,Arrived / Gate Arrival,B38M ,1200,1140,1611,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UAL755-1746220186-fa-2197p,San Diego Intl,2025-05-06 00:33:00+00:00,2025-05-06 01:15:14+00:00,UAL,Arrived / Delayed,B739 ,60,2280,2250,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UAL1648-1746233456-fa-524p,Queen Beatrix Int'l,2025-05-06 00:50:00+00:00,2025-05-06 01:17:00+00:00,UAL,Arrived / Delayed,B39M ,1140,2580,1885,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UAL2382-1746226395-fa-1155p,Harry Reid Intl,2025-05-06 00:40:00+00:00,2025-05-06 01:19:00+00:00,UAL,Arrived / Delayed,B739 ,-240,2340,2063,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UAL587-1746250872-airline-64p,Chicago O'Hare Intl,2025-05-05 23:16:00+00:00,2025-05-06 01:26:11+00:00,UAL,Arrived / Delayed,B752 ,1080,10140,588,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UAL2275-1746231461-fa-652p,Seattle-Tacoma Intl,2025-05-06 00:51:00+00:00,2025-05-06 01:29:10+00:00,UAL,Arrived / Delayed,B739 ,120,2100,2302,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UAL1788-1746251127-airline-1764p,Houston Bush Int'ctl,2025-05-06 00:20:00+00:00,2025-05-06 01:30:53+00:00,UAL,Arrived / Delayed,B38M ,3120,3000,1190,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UAL653-1746250872-airline-507p,Sangster Int'l,2025-05-06 00:28:00+00:00,2025-05-06 01:34:00+00:00,UAL,Arrived / Delayed,B38M ,1620,4140,1414,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UAL1686-1746221690-fa-2782p,Phoenix Sky Harbor Intl,2025-05-06 01:25:00+00:00,2025-05-06 01:36:00+00:00,UAL,Arrived / Gate Arrival,B39M ,-120,1140,1954,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
EJM171-1746401604-sw-191p,San Francisco Bay Oakland Intl,2025-05-05 23:06:00+00:00,2025-05-06 01:39:59+00:00,EJM,Arrived,GLF5 ,-1800,9239,2405,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
UAL1240-1746252912-airline-1592p,Dallas-Fort Worth Intl,2025-05-06 01:08:00+00:00,2025-05-06 01:42:32+00:00,UAL,Arrived / Gate Arrival,A320 ,-180,1440,1171,2025-05-05 18:38:07+00:00,from,2025-05-05 22:00:00+00:00,,12007KT,120,7.0,KT,unlimited,P6SM,"light rain_showers, vicinity_thunderstorms",,,,broken,1500.0,,,,,,,,,,,
